ts_utc,event,case_code,case_category,entered_code,correct,response_time_s,keystrokes,code_length,keystroke_efficiency,time_remaining_s,time_limit_s,stability,score
2026-04-22T07:00:43Z,case_start,K80.20,Gastroenterology,,0,0,0,6,0.000,30,30,100,0
2026-04-22T07:01:13Z,game_over:timeout,K80.20,Gastroenterology,,0,0,0,0,0.000,0,0,40,0
2026-04-22T07:01:13Z,log_saved,,,/Users/datah/Desktop/2026/compro2/Project_ICD10/data/game_logs/session_20260422_140113.csv,0,0,0,0,0.000,0,30,40,0
2026-04-22T07:01:20Z,case_start,K52.9,Gastroenterology,,0,0,0,5,0.000,30,30,100,0
2026-04-22T07:01:50Z,game_over:timeout,K52.9,Gastroenterology,,0,0,0,0,0.000,0,0,40,0
2026-04-22T07:01:50Z,log_saved,,,/Users/datah/Desktop/2026/compro2/Project_ICD10/data/game_logs/session_20260422_140150.csv,0,0,0,0,0.000,0,30,40,0
2026-04-22T07:02:58Z,case_start,I21.9,Cardiology,,0,0,0,5,0.000,30,30,100,0
2026-04-22T07:03:10Z,submit,I21.9,Cardiology,K21.9,0,11,0,5,0.000,19,30,58,-25
2026-04-22T07:03:14Z,submit,I21.9,Cardiology,I21.9,1,15,0,5,0.000,15,30,50,100
2026-04-22T07:03:14Z,case_start,E03.9,Endocrinology,,0,0,0,5,0.000,30,30,50,100
2026-04-22T07:03:15Z,submit,E03.9,Endocrinology,,0,1,0,5,0.000,29,30,28,75
2026-04-22T07:03:18Z,submit,E03.9,Endocrinology,E11.9,0,4,0,5,0.000,26,30,2,50
2026-04-22T07:03:18Z,game_over:stability,E03.9,Endocrinology,,0,0,0,0,0.000,25,0,0,50
