ts_utc,event,case_code,case_category,entered_code,correct,response_time_s,keystrokes,code_length,keystroke_efficiency,time_remaining_s,time_limit_s,stability,score
2026-04-22T11:36:08Z,case_start,R10.9,Gastroenterology,,0,0,0,5,0.000,30,30,100,0
2026-04-22T11:36:19Z,submit,R10.9,Gastroenterology,R10.9,1,11,4,5,0.800,19,30,78,125
2026-04-22T11:36:21Z,case_start,J44.0,Respiratory,,0,0,0,5,0.000,30,30,78,125
2026-04-22T11:36:23Z,submit,J44.0,Respiratory,M54.50,0,1,0,5,0.000,29,30,56,100
2026-04-22T11:36:24Z,submit,J44.0,Respiratory,M79.672,0,2,0,5,0.000,28,30,34,75
2026-04-22T11:36:26Z,submit,J44.0,Respiratory,R07.9,0,4,0,5,0.000,26,30,10,50
2026-04-22T11:36:28Z,submit,J44.0,Respiratory,M25.562,0,6,0,5,0.000,24,30,0,25
2026-04-22T11:36:28Z,game_over:stability,J44.0,Respiratory,,0,0,0,0,0.000,24,0,0,25
2026-04-22T11:36:28Z,log_saved,,,dsf::E:\pang\ICD10_Code\data\game_logs\session_dsf_20260422_183628.csv,0,0,0,0,0.000,24,30,0,25
2026-04-22T11:36:32Z,log_saved,,,dsf::E:\pang\ICD10_Code\data\game_logs\session_dsf_20260422_183632.csv,0,0,0,0,0.000,24,30,0,25
2026-04-22T11:36:33Z,log_saved,,,dsf::E:\pang\ICD10_Code\data\game_logs\session_dsf_20260422_183633.csv,0,0,0,0,0.000,24,30,0,25
2026-04-22T11:36:34Z,log_saved,,,dsf::E:\pang\ICD10_Code\data\game_logs\session_dsf_20260422_183634.csv,0,0,0,0,0.000,24,30,0,25
2026-04-22T11:36:35Z,log_saved,,,dsf::E:\pang\ICD10_Code\data\game_logs\session_dsf_20260422_183635.csv,0,0,0,0,0.000,24,30,0,25
2026-04-22T11:36:36Z,case_start,G20,Neurology,,0,0,0,3,0.000,30,30,100,0
2026-04-22T11:36:40Z,submit,G20,Neurology,M79.672,0,3,0,3,0.000,26,30,72,-25
2026-04-22T11:36:42Z,skip,G20,Neurology,,0,0,0,3,0.000,24,30,58,-25
2026-04-22T11:36:43Z,case_start,N80.9,Gynecology,,0,0,0,5,0.000,32,32,58,-25
2026-04-22T11:36:43Z,submit,N80.9,Gynecology,,0,0,0,5,0.000,32,32,38,-50
2026-04-22T11:36:45Z,submit,N80.9,Gynecology,R10.9,0,1,0,5,0.000,30,32,14,-75
2026-04-22T11:36:45Z,submit,N80.9,Gynecology,R10.9,0,2,0,5,0.000,30,32,0,-100
2026-04-22T11:36:45Z,game_over:stability,N80.9,Gynecology,,0,0,0,0,0.000,30,0,0,-100
