ts_utc,event,case_code,case_category,entered_code,correct,response_time_s,keystrokes,code_length,keystroke_efficiency,time_remaining_s,time_limit_s,stability,score
2026-04-22T07:54:04Z,case_start,G25.81,Neurology,,0,0,0,6,0.000,30,30,100,0
2026-04-22T07:54:06Z,skip,G25.81,Neurology,,0,0,0,6,0.000,27,30,84,0
2026-04-22T07:54:07Z,case_start,R63.4,Endocrinology,,0,0,0,5,0.000,30,30,84,0
2026-04-22T07:54:07Z,skip,R63.4,Endocrinology,,0,0,0,5,0.000,30,30,74,0
2026-04-22T07:54:08Z,case_start,L98.9,Dermatology,,0,0,0,5,0.000,30,30,74,0
2026-04-22T07:54:08Z,skip,L98.9,Dermatology,,0,0,0,5,0.000,30,30,64,0
2026-04-22T07:54:13Z,case_start,O99.013,Obstetrics,,0,0,0,7,0.000,30,30,64,0
2026-04-22T07:54:13Z,skip,O99.013,Obstetrics,,0,0,0,7,0.000,30,30,54,0
2026-04-22T07:54:25Z,case_start,J98.01,Respiratory,,0,0,0,6,0.000,30,30,54,0
2026-04-22T07:54:25Z,submit,J98.01,Respiratory,R00.2,0,0,0,6,0.000,30,30,34,-25
2026-04-22T07:54:28Z,submit,J98.01,Respiratory,J18.9,0,3,0,6,0.000,27,30,8,-50
2026-04-22T07:54:32Z,game_over:stability,J98.01,Respiratory,,0,0,0,0,0.000,23,0,0,-50
